Feature,Importance
numeric__time,0.7234125885801911
numeric__lotus_intensity,0.22273325367577038
numeric__multiscale_index,0.01924057235344292
categorical__coating_4,0.008524155012162972
categorical__coating_0,0.007729110275551644
categorical__coating_3,0.001964893813820836
categorical__coating_1,0.001923911200196017
numeric__Capillary_number,0.0016239951728810147
numeric__temperature,0.0014583690128963335
numeric__dynamic_viscosity,0.0012338657919591027
numeric__salinity,0.001152261343808731
numeric__surface_tension,0.0010747762386922046
numeric__plastron_stability,0.0008693270164814543
numeric__riblet_height,0.0005621802561872087
numeric__velocity_riblet_interact,0.0005369473407766291
numeric__effective_contact_angle,0.0005278622630522065
numeric__riblet_height_plus,0.0005098137563903478
numeric__Weber_number,0.000448196698223028
numeric__water_density,0.00044558556483562936
categorical__coating_2,0.00036311171141050716
numeric__friction_velocity,0.0003368919009847461
numeric__velocity,0.00031551011527196165
numeric__riblet_spacing_plus,0.00030204550983871495
numeric__Re_micro,0.0002812388952928118
numeric__solid_fraction_f,0.0002591257092433446
numeric__aspect_ratio,0.00025071242676266746
numeric__riblet_spacing,0.0002291420398396228
numeric__wenzel_contact_angle,0.00022342052591958287
numeric__estimated_slip_length,0.00021382722758437174
numeric__skin_friction_coefficient,0.00020600004634204174
numeric__Re_macro,0.00019575290265830833
numeric__cassie_contact_angle,0.00019062275214636152
numeric__viscous_sublayer_thickness,0.00016377302607537968
numeric__viscous_length_scale,0.00015051593429916586
categorical__material_0,9.369550022480233e-05
categorical__material_1,8.582781134411883e-05
categorical__material_2,8.278699505820985e-05
numeric__kinematic_viscosity,5.107766963067926e-05
categorical__wetting_state_1,1.7905518048015986e-05
categorical__wetting_state_2,8.273243993143556e-06
categorical__wetting_state_0,7.0771707116400155e-06
