,riblet_height,riblet_spacing,lotus_intensity,material,coating,velocity,temperature,salinity,time,aspect_ratio,solid_fraction_f,cassie_contact_angle,wenzel_contact_angle,effective_contact_angle,plastron_stability,wetting_state,dynamic_viscosity,water_density,kinematic_viscosity,surface_tension,Re_macro,Re_micro,Capillary_number,Weber_number,skin_friction_coefficient,friction_velocity,viscous_length_scale,viscous_sublayer_thickness,riblet_spacing_plus,riblet_height_plus,multiscale_index,estimated_slip_length,velocity_riblet_interact,durability,drag_reduction,biofouling
riblet_height,1.0,0.018006376738683445,0.01539361916007568,0.010963629051392407,0.027301238754053072,-0.016996769460593034,-0.005505729270815171,0.030756350901576468,0.0023276323179878653,0.41428300796060935,-0.014627927911548084,0.01722375541824975,0.4836989685111507,0.26144182085614587,0.013495703742453782,0.015312567030007945,0.005603309089801875,0.03413862031328097,0.004569972124917916,0.004419745032012151,-0.018479682112264403,0.0036810231359595564,-0.013460365803149858,0.0023635168154771086,0.017825175055361676,-0.0168298842094811,0.013228229895981389,0.013228229895981299,0.004216993995382658,0.6535453647422967,0.16334127506835783,0.01878227871817273,0.3284473282980577,-0.0777722054619272,0.27614403315089453,-0.01060483496153708
riblet_spacing,0.018006376738683445,1.0,0.006285061010610789,-0.005295234127458469,0.006053282209316993,-0.012907432656020186,0.006131713467052246,0.012690882978559932,0.038308040326670026,-0.592647956042369,-0.822663236760727,0.8914752321935819,-0.6848638421859335,-0.1553605676921185,-0.020410168829023453,-0.0003992684979980365,-0.005857233373873873,0.012664697061813519,-0.006258411567310157,-0.004195906350339031,-0.013682710639243922,0.6189446584631477,-0.0108536678357994,0.46381804602499,-0.0038451812052841382,-0.011750167882217492,-0.011923840539999607,-0.011923840539999552,0.6497010465540861,0.008845791142309573,-0.1774262009230213,0.9873830690122041,-0.4863435695088409,0.11676269229815012,-0.3897876368822924,0.043041379040381245
lotus_intensity,0.01539361916007568,0.006285061010610789,1.0,-0.006934535275867118,0.0052535547318365355,0.0026000023110741744,-0.015946990812082555,-0.010287174824306676,0.004533806637120924,0.008198789278234775,-0.1535075184480959,0.1719146472749335,-0.0029444008961400786,0.5145398223278689,0.7484250502026012,0.6650767615364619,0.01665733090524863,-0.005774871703484882,0.017025942618589335,0.013251517374499141,-0.005283649729658304,-0.00395011987382915,0.010328402430475654,-0.0006539720397128936,0.009103981940252878,0.003071184110193461,0.01221855921494039,0.012218559214940332,-0.0032047070439790402,0.00033654500214725947,0.9577442281756585,0.09001776038698976,0.00920520938052357,0.1268480681318941,0.6028843323314523,-0.4366086189631832
material,0.010963629051392407,-0.005295234127458469,-0.006934535275867118,1.0,0.003973853030340526,-0.008056638650197298,0.014364445718499852,0.021594035867726364,0.00685638632732219,0.015562175527974838,0.024243673910784833,-0.02063055859417698,0.020517161786272168,0.0028148902061507198,-0.01676750098182322,-0.017517212735846402,-0.015300228280305887,0.014833629127443959,-0.015845161222346,-0.012745058956399763,-0.005363859090398229,-0.01342298064054855,-0.010512339039514233,-0.01513669294683663,-1.591592300090909e-05,-0.008057860105004014,-0.00221425287023885,-0.002214252870238809,-0.013323836216157736,0.0024392065091683717,-0.0007215050916250852,-0.002154159856160892,0.013480242690850252,0.3620740486413537,0.08393427390329497,0.00929463385990589
coating,0.027301238754053072,0.006053282209316993,0.0052535547318365355,0.003973853030340526,1.0,0.036170866267706096,0.0032157471570590374,0.03342299448459815,0.0020032730230070276,0.02140254582765263,-0.0027515394951113247,0.004936030465143117,0.01803799260920426,0.009865224818198745,-0.010131016412597385,-0.013582391493099089,-0.0031403659139460235,0.03409617180558408,-0.004307730027607547,-0.0017724544569934944,0.03661677830299431,0.02363678271187864,0.03298501320604063,0.02659237427077892,-0.02648635304397035,0.0354349120752135,-0.01612666334469573,-0.01612666334469569,0.022421316302427358,0.044552011372740834,0.011801135389172348,0.007026957682098896,0.038522343818913334,0.552362481233698,0.11911671644027698,-0.16220489933974733
velocity,-0.016996769460593034,-0.012907432656020186,0.0026000023110741744,-0.008056638650197298,0.036170866267706096,1.0,-0.03901766206088235,0.0024071257968861378,0.0004603396869227517,-0.0016669219102958413,0.010442639753513169,-0.011696137412571118,0.0006180583301187152,-0.21929111349175248,-0.368412779563733,-0.31554972213654725,0.038859405433835086,0.012057011013315874,0.038852918537205045,0.03825937843196467,0.9440572576248532,0.6468367926874831,0.9555742571052053,0.7524175095318206,-0.8616559097770331,0.9988518566216804,-0.6492466404661286,-0.6492466404661293,0.6279824359116777,0.6191561041091019,0.0033693419268276217,-0.012463737268409183,0.36259849727469073,-0.33585921207947544,-0.31301132545054017,-0.03282555996700916
temperature,-0.005505729270815171,0.006131713467052246,-0.015946990812082555,0.014364445718499852,0.0032157471570590374,-0.03901766206088235,1.0,0.02318808737606785,0.01087167575644936,-0.019306725649969655,-0.0182844123000326,0.014466244865622284,-0.01565895856656938,-0.01823191717447136,0.010001414879258406,0.00738482091955872,-0.9991227265342268,-0.2803912687363249,-0.9987475727743399,-0.9910342417710037,0.24964383165897647,0.17219786299590362,-0.2941547831489613,-0.019664383325392963,-0.13978109453002238,-0.07155937515217242,-0.08440340106135372,-0.08440340106135323,0.16164785016007088,0.1537369845092552,-0.01957202013483184,0.0016315651143371452,-0.030518245250314963,-0.15332122381176905,-0.020938946031533272,0.05182790429569918
salinity,0.030756350901576468,0.012690882978559932,-0.010287174824306676,0.021594035867726364,0.03342299448459815,0.0024071257968861378,0.02318808737606785,1.0,0.008168375581027214,0.010114605094007502,-0.011422112366921481,0.010166027174236638,0.009705838440620982,-0.014746374974424499,-0.01014941769542128,-0.012519119324033963,-0.02311878735152812,0.9359510758485154,-0.05135036959798726,-0.02417279151302775,0.018540428195255296,0.02242708840413809,-0.005181103378136572,0.016626889165547415,-0.008621101561249386,7.400205735638238e-05,-0.007913834078096902,-0.007913834078096883,0.021814212514169137,0.027783845623020522,-0.0037119384091011047,0.01162260151483008,0.007444719605477034,-0.19417724595165786,-0.006599512051496196,0.02742278163420485
time,0.0023276323179878653,0.038308040326670026,0.004533806637120924,0.00685638632732219,0.0020032730230070276,0.0004603396869227517,0.01087167575644936,0.008168375581027214,1.0,-0.014095087157756604,-0.033737107484753774,0.03596588703418642,-0.02374134955550246,-0.18514543981365397,-0.32879906141188026,-0.2671056981169512,-0.01067580744574706,0.010075748533596439,-0.011236217486578107,-0.010139797123153925,0.009062553176031812,0.03428915752590797,-0.006841779701052457,0.017597295388572933,-0.004973985875151034,-5.2361337325400274e-05,4.6169137910468e-05,4.616913791048226e-05,0.03464006308906854,0.01813862044925793,-0.0021584552423458627,0.037288578494850275,-0.007032459756265948,-0.48137538808301666,-0.3049681530679938,0.8439874422374766
aspect_ratio,0.41428300796060935,-0.592647956042369,0.008198789278234775,0.015562175527974838,0.02140254582765263,-0.0016669219102958413,-0.019306725649969655,0.010114605094007502,-0.014095087157756604,1.0,0.766870966513795,-0.7400391310320773,0.8508445400185313,0.315350458242859,-0.20192049106500276,-0.18071010550017583,0.019097728232553027,0.015187728720273595,0.01884979987345458,0.016140220950264603,-0.007447665996239469,-0.3731191454903898,0.003853667693576872,-0.2787231674756959,0.012712883356262831,-0.0017108577317904673,0.0095230550742782,0.009523055074278145,-0.39113444077434006,0.2692610751713712,0.22337424586804597,-0.5333554361972612,0.812929974320897,-0.15734841036367192,0.28139497676747416,-0.028667575805448035
