Feature,Importance
numeric__plastron_stability,0.5550192613819344
numeric__wenzel_contact_angle,0.11265172605083437
numeric__aspect_ratio,0.10434980590608979
categorical__wetting_state_2,0.04828540832364362
numeric__riblet_spacing_plus,0.042110114153503526
numeric__multiscale_index,0.024124620449834613
numeric__Re_micro,0.015120959120918383
numeric__time,0.011309580494685263
numeric__Weber_number,0.010382659848338995
numeric__effective_contact_angle,0.008830309482087538
numeric__velocity_riblet_interact,0.006093969724400585
numeric__riblet_height_plus,0.005331894544008802
numeric__riblet_height,0.004074481161113951
numeric__lotus_intensity,0.003800439882553448
categorical__coating_4,0.0033671623645603684
numeric__riblet_spacing,0.0030779516847227167
numeric__Capillary_number,0.002996484513470575
categorical__wetting_state_0,0.0028646915104046126
categorical__wetting_state_1,0.0028127201104757
categorical__coating_0,0.0027798900715831636
numeric__salinity,0.0026866890859041513
categorical__material_0,0.002587987271062762
numeric__estimated_slip_length,0.002465676913576682
categorical__material_2,0.002312261987885128
numeric__solid_fraction_f,0.002179723391938383
numeric__water_density,0.0021455068060707615
numeric__friction_velocity,0.002008872562079695
numeric__velocity,0.0018712754728037594
numeric__temperature,0.0016656693013430335
numeric__cassie_contact_angle,0.0015848761453446521
numeric__Re_macro,0.001528117961838767
numeric__dynamic_viscosity,0.00132925348596372
numeric__skin_friction_coefficient,0.0012639717040009916
numeric__surface_tension,0.001006510412619486
numeric__viscous_sublayer_thickness,0.0009281301455008013
categorical__coating_1,0.0008448424905967434
categorical__coating_3,0.0008064447670952697
numeric__viscous_length_scale,0.000512942911790905
categorical__material_1,0.00043205202033561773
categorical__coating_2,0.0003377068032155145
numeric__kinematic_viscosity,0.00011735757986866464
